,station,deploy_lat,deploy_long
4706,CBS194,47.35747,-59.85388
4730,CBS193,47.35333,-59.86216
4753,CBS225,47.48742,-59.58644
4754,CBS226,47.49179,-59.57767
4772,CBS209,47.42033,-59.72478
4778,CBS208,47.41614,-59.73369
4780,CBS184,47.31564,-59.94076
4782,N119,46.23071,-59.05889
4784,SE1,46.54681,-60.19643
4788,SW1,46.54889,-60.20924
4790,SW2,46.542,-60.21225
4813,GDL-WG-106_20191120-315180,46.01748,-59.26408
4814,GDL-WG-106_20191120-315112,46.01692,-59.26317
4815,GDL-WG-106_20191120-314853,46.01594,-59.26167
4816,GDL-WG-106_20191120-315018,46.01496,-59.26012
4817,GDL-WG-106_20191120-314598,46.01544,-59.26023
4818,GDL-WG-106_20191120-314549,46.01544,-59.26164
4819,GDL-WG-106_20191120-314394,46.01547,-59.26285
4820,GDL-WG-106_20191120-314484,46.01548,-59.26366
4821,GDL-WG-106_20191120-314404,46.01553,-59.26635
4822,CBS174,47.27384,-60.02653
4952,ST14,46.83154,-71.18905
4955,CBS014,47.0964,-60.29007
4963,CBS013,47.09161,-60.29738
4978,WALTON BAR EAST,45.26795,-63.97148
4979,INDIAN POINT,45.13362,-64.2109
4980,60,44.03271,-64.64766
4981,68,44.03639,-64.64194
5147,N123,46.24656,-59.01227
5150,CBS020,47.12582,-60.24574
5153,CBS021,47.13159,-60.23904
5165,CBS026,47.15558,-60.20203
5168,CBS025,47.15077,-60.20951
5192,CBS027,47.1608,-60.19507
5225,CBS019,47.12074,-60.25303
5230,GDL-WG-106_20191120-314688,46.49368,-60.12149
5231,GDL-WG-106_20191120-314433,46.49348,-60.12086
5232,GDL-WG-106_20191120-314676,46.49339,-60.12056
5233,GDL-WG-106_20191120-314802,46.49329,-60.12026
5234,GDL-WG-106_20191120-314772,46.4932,-60.11995
5235,GDL-WG-106_20191120-314385,46.49311,-60.11964
5236,GDL-WG-106_20191120-314397,46.50927,-60.08548
5237,GDL-WG-106_20191120-314429,46.50906,-60.0848
5238,GDL-WG-106_20191120-314701,46.50888,-60.08424
5239,GDL-WG-106_20191120-314839,46.50879,-60.08392
5240,GDL-WG-106_20191120-314960,46.50868,-60.08357
5241,GDL-WG-106_20191120-314978,46.50855,-60.08315
5242,GDL-WG-106_20191120-314573,46.50837,-60.08256
5243,GDL-WG-106_20191120-314526,46.50826,-60.0822
5244,GDL-WG-106_20191120-315132,46.50814,-60.0818
5245,GDL-WG-106_20191120-314836,46.50801,-60.08134
5246,GDL-WG-106_20191120-315025,46.50783,-60.08074
5247,GDL-WG-106_20191120-314434,46.50758,-60.07987
5248,CBS022,47.13617,-60.23162
5268,3_C,43.90547,-64.79134
5269,2020_36,49.30149,-67.69944
5270,2020_35,49.30043,-67.70108
5271,CBS013,47.09159,-60.29748
5283,67,44.03721,-64.64516
5284,82,44.04418,-64.64488
5285,ST41,46.8249,-71.19815
5286,ST37,46.82704,-71.19341
5287,GDL-WG-117_202009-2928688,46.01554,-59.26412
5288,GDL-WG-117_202009-2928676,46.01549,-59.3342
5289,2020_55,49.29652,-67.69373
5290,2020_50,49.3005,-67.69421
5291,2020_24,49.29885,-67.69416
5294,CBS174,47.27396,-60.02647
5327,CBS176,47.28178,-60.00662
5363,CBS182,47.3072,-59.95747
5373,CBS184,47.31537,-59.94072
5374,CBS185,47.31979,-59.93152
5381,CBS186,47.32403,-59.92306
5417,CBS190,47.34073,-59.88833
5422,CBS189,47.33666,-59.89684
5445,CBS188,47.33218,-59.90564
5468,CBS187,47.32859,-59.91458
5678,CBS005,47.05279,-60.35658
5680,CBS006,47.05752,-60.34917
5696,N121,46.23849,-59.03591
5709,S116,46.02187,-58.90431
5713,S119,46.02158,-58.86502
5720,S120,46.02172,-58.85229
5725,S121,46.02182,-58.83963
5738,5,49.30145,-67.68333
5739,2020_28,49.30045,-67.68147
5740,2020_37,49.3002,-67.68533
5742,2,49.30157,-67.6967
5743,2020_58_1,49.29705,-67.70369
5744,55,44.04118,-64.66369
5745,44,44.03365,-64.66364
5747,32,44.03566,-64.67445
5748,2021-43,44.03407,-64.65107
5749,2020_56,49.29675,-67.69836
5754,2020_60,49.29546,-67.70042
5755,2020_13,49.2977,-67.69591
5759,2020_45,49.30009,-67.67808
5761,2020_61,49.29507,-67.69585
5762,GDL-WG-141_202109-2977139,46.25972,-59.58001
5763,GDL-WG-141_202109-2977315,46.25973,-59.58065
5764,GDL-WG-141_202109-2977245,46.24719,-59.68888
5766,2020_3,49.30148,-67.69202
5769,2020_53,49.29584,-67.68391
5771,2021-21,44.03401,-64.67123
5772,2021-13,44.03214,-64.67299
5774,SOUTH SANDS 4,25.48459,-80.16991
1,Southern SAB1,45.94486,-59.0126
2,Southern SAB2,45.95511,-59.01846
