"","station_name","date","receiver","description","data","rcv_serial_no","deploy_date","recover_date","dep_lat","dep_long","the_geom","catalognumber"
"72","V2LSCF-N1",2015-05-28,"VR2AR-545784","Maximum temperature",-0.6,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"73","V2LSCF-N1",2015-05-29,"VR2AR-545784","Average temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"74","V2LSCF-N1",2015-05-29,"VR2AR-545784","Minimum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"75","V2LSCF-N1",2015-05-29,"VR2AR-545784","Maximum temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"76","V2LSCF-N1",2015-05-29,"VR2AR-545784","Temperature",-0.5,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"77","V2LSCF-N1",2015-05-30,"VR2AR-545784","Temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"78","V2LSCF-N1",2015-05-30,"VR2AR-545784","Average temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"79","V2LSCF-N1",2015-05-30,"VR2AR-545784","Maximum temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"80","V2LSCF-N1",2015-05-30,"VR2AR-545784","Minimum temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"81","V2LSCF-N1",2015-05-31,"VR2AR-545784","Maximum temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"82","V2LSCF-N1",2015-05-31,"VR2AR-545784","Temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"83","V2LSCF-N1",2015-05-31,"VR2AR-545784","Average temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"84","V2LSCF-N1",2015-05-31,"VR2AR-545784","Minimum temperature",0,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
"85","V2LSCF-N1",2015-06-01,"VR2AR-545784","Average temperature",0.1,545784,2015-05-11,2016-04-17 18:12:00,46.17733,-59.22367,"POINT (-59.22367 46.17733)","V2LSCF-N1-VR2AR-545784-1"
