"67","LYCODES LAVALAEI",NA,NA,NA,NA,NA,NA,1,NA
"68","LYCODES PALLIDUS",NA,NA,2,NA,NA,NA,NA,NA
"69","LYCODES RETICULATUS",2,NA,NA,NA,NA,1,NA,NA
"70","LYCODES TERRAENOVAE",NA,NA,NA,NA,NA,NA,NA,3
"71","LYCODES VAHLII",6,4,1,3,2,NA,3,3
"72","MALACORAJA SENTA",20,18,30,53,62,22,29,45
"73","MEDIASTER BAIRDI",69,17,8,NA,NA,NA,NA,NA
"74","MELANOGRAMMUS AEGLEFINUS",NA,NA,NA,NA,NA,NA,1,NA
"75","MERLUCCIUS BILINEARIS",4,58,38,47,12,164,66,46
"76","MYOXOCEPHALUS AENAEUS",2,NA,NA,NA,NA,NA,NA,NA
"77","MYOXOCEPHALUS OCTODECEMSPINOSUS",1,2,NA,NA,1,3,1,2
"78","MYOXOCEPHALUS SCORPIUS",5,5,3,3,5,15,13,NA
"79","MYXINE LIMOSA",NA,NA,NA,NA,NA,NA,NA,1
"80","MYZOPSETTA FERRUGINEA",9,5,12,10,4,24,21,11
"81","NEZUMIA BAIRDII",108,100,75,81,85,89,202,73
"82","NUDIBRANCHIA",NA,NA,NA,1,NA,NA,NA,NA
"83","OCTOPODA",13,12,10,15,12,24,16,13
"84","OPHIURA SARSII",NA,NA,NA,NA,NA,NA,59,NA
"85","OPHIUROIDEA",278,272,198,61,208,65,61,28
"86","PAGURIDAE",33,43,46,19,34,5,15,5
"87","PANDALUS BOREALIS",542,843,650,554,446,86,112,21
"88","PANDALUS MONTAGUI",115,15,92,76,27,36,21,19
"89","PASIPHAEA MULTIDENTATA",NA,NA,NA,1,NA,NA,NA,NA
"90","PENNATULOIDEA",2818,1308,1094,2037,905,1007,685,1275
"91","PENTAGONASTER",3,NA,NA,NA,NA,NA,NA,NA
"92","PHYCIS CHESTERI",221,97,9,73,30,17,64,34
"93","PLACOPECTEN MAGELLANICUS",NA,NA,NA,NA,1,NA,NA,NA
"94","POLLACHIUS VIRENS",NA,NA,NA,NA,NA,NA,NA,1
"95","POLYCHAETA",2,NA,2,1,8,2,5,NA
"96","PONTOPHILUS NORVEGICUS",5,NA,NA,NA,NA,NA,NA,NA
"97","PORANIOMORPHA (PORANIOMORPHA) HISPIDA",2,NA,3,1,4,1,NA,NA
"98","PORIFERA",597,250,543,821,364,6692,634,348
"99","PTERASTER MILITARIS",NA,NA,NA,NA,1,NA,1,2
"100","PYCNOGONIDA",9,4,3,6,7,1,1,NA
"101","REINHARDTIUS HIPPOGLOSSOIDES",10,4,5,4,7,1,6,3
"102","SCLEROCRANGON",13,3,8,NA,NA,1,NA,5
"103","SCLEROCRANGON BOREAS",NA,NA,NA,NA,NA,NA,3,NA
"104","SCOMBER SCOMBRUS",1,NA,NA,NA,1,NA,3,NA
"105","SCOMBERESOX SAURUS",NA,NA,1,NA,NA,NA,NA,NA
"106","SCYPHOZOA",16,4,1,8,3,7,1,NA
"107","SEBASTES",4627,1976,2475,1828,487,588,2266,984
"108","SEMIROSSIA TENERA",11,2,1,NA,3,NA,4,NA
"109","SOLASTER ENDECA",6,4,5,3,23,22,8,4
"110","SPIRONTOCARIS LILJEBORGII",1,NA,NA,NA,NA,NA,NA,NA
"111","SPIRONTOCARIS SPINUS",5,NA,NA,NA,NA,NA,1,NA
"112","STRONGYLOCENTROTUS",NA,4,NA,NA,NA,NA,NA,NA
"113","STRONGYLOCENTROTUS DROEBACHIENSIS",17,14,32,23,76,57,68,154
"114","TRIGLOPS MURRAYI",NA,3,5,NA,3,NA,6,NA
"115","TRIGLOPS PINGELII",26,6,13,1,3,1,6,1
"116","UROPHYCIS TENUIS",149,71,32,79,35,31,65,62
"117","VAZELLA POURTALESII",NA,NA,NA,NA,NA,NA,3,NA
"118",NA,49,15,22,10,30,12,19,11
