"","station","num_fish","num_dets","first_det","last_det","mean_lat","mean_lon","animals"
"15","2021_014",8,1160,2022-11-06 10:20:42,2024-06-22 20:27:43,45.988535724139,-59.1584128103434,"SABMPA-1283892-2022-11-01 SABMPA-1283895-2022-11-01 SABMPA-1283897-2022-11-01 SABMPA-1283898-2022-11-01 SABMPA-1283903-2022-11-01 SABMPA-MPA-SAB-23-HIP-02-2023-10-05 SABMPA-MPA-SAB-23-HIP-06-2023-10-06 SABMPA-MPA-SAB-23-HIP-07-2023-10-06"
"16","2021_016",4,373,2022-11-06 22:16:52,2024-05-08 12:24:56,45.9881005361928,-59.1317837801607,"SABMPA-1283884-2022-11-01 SABMPA-1283895-2022-11-01 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05"
"17","2021_017",5,360,2022-11-28 16:07:34,2024-05-08 20:55:44,45.9884143333331,-59.1185737777776,"SABMPA-1283878-2022-11-01 SABMPA-1283881-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283925-2022-12-05 SABMPA-MPA-SAB-23-HIP-02-2023-10-05"
"18","2021_018",4,17,2022-11-06 23:50:51,2024-01-08 09:28:12,45.9883229411765,-59.1054535294118,"SABMPA-1283878-2022-11-01 SABMPA-1283895-2022-11-01 SABMPA-1283910-2022-12-06 SABMPA-1283925-2022-12-05"
"19","2021_019",3,44,2022-11-07 00:19:03,2023-01-14 17:03:04,45.9879800000001,-59.09185,"SABMPA-1283878-2022-11-01 SABMPA-1283895-2022-11-01 SABMPA-1283903-2022-11-01"
"20","2021_020",3,29,2022-11-28 20:46:00,2023-10-03 09:00:09,45.9884393103448,-59.0789127586207,"SABMPA-1283878-2022-11-01 SABMPA-1283903-2022-11-01 SABMPA-1283925-2022-12-05"
"21","2021_021",3,25,2022-11-12 04:50:37,2023-01-15 01:19:22,45.98802,-59.06419,"SABMPA-1283878-2022-11-01 SABMPA-1283899-2022-11-01 SABMPA-1283903-2022-11-01"
"22","2021_022",2,9,2022-11-12 05:14:21,2024-04-04 04:38:48,45.9881622222222,-59.0521766666667,"SABMPA-1283884-2022-11-01 SABMPA-1283899-2022-11-01"
"23","2021_023",1,5,2023-01-01 21:01:00,2023-01-01 21:09:43,45.98809,-59.03802,"SABMPA-1283900-2022-11-01"
"24","2021_024",2,262,2022-12-11 00:13:51,2024-01-25 09:52:25,45.9933583587787,-59.0277337786262,"SABMPA-1283906-2022-12-05 SABMPA-1283911-2022-12-06"
