Station,Date,Time,Sounding,Target Depth,Replicate,CastID,SampleID,SmithRootID,Lat,Long,Location,type,cam_stn
SAB_05,8/14/2023,10:59:00,79.7,Bottom,2,767A010,413357,105,45 50.8110,59 31.4227,St Anns Bank,eDNA,
SAB_05,8/14/2023,10:59:00,79.7,Bottom,3,767A010,413358,106,45 50.8110,59 31.4227,St Anns Bank,eDNA,
SAB_06,8/14/2023,11:28:00,81.4,Bottom,1,767A011,413359,107,45 50.7688,59 30.2918,St Anns Bank,eDNA,
SAB_06,8/14/2023,11:28:00,81.4,Bottom,2,767A011,413360,108,45 50.7688,59 30.2918,St Anns Bank,eDNA,
SAB_06,8/14/2023,11:28:00,81.4,Bottom,3,767A011,413361,109,45 50.7688,59 30.2918,St Anns Bank,eDNA,
SAB_07,8/14/2023,12:00:00,93.2,Bottom,1,767A012,413362,110,45 50.0759,59 29.4401,St Anns Bank,eDNA,
SAB_07,8/14/2023,12:00:00,93.2,Bottom,2,767A012,413363,111,45 50.0759,59 29.4401,St Anns Bank,eDNA,
SAB_07,8/14/2023,12:00:00,93.2,Bottom,3,767A012,413364,112,45 50.0759,59 29.4401,St Anns Bank,eDNA,
SAB_08,8/14/2023,12:35:00,110,Bottom,1,767A013,413365,113,45 49.5620,59 25.0054,St Anns Bank,eDNA,
SAB_08,8/14/2023,12:35:00,110,Bottom,2,767A013,413366,114,45 49.5620,59 25.0054,St Anns Bank,eDNA,
SAB_08,8/14/2023,12:35:00,110,Bottom,3,767A013,413367,115,45 49.5620,59 25.0054,St Anns Bank,eDNA,
BLANK,8/15/2023,11:11:00,NA,Bottom,NA,NA,413368,116,NA,NA,St Anns Bank,eDNA,
SAB_09,8/15/2023,11:13:00,94.9,Bottom,1,767A014,413369,117,45 56.5702,59 18.9510,St Anns Bank,eDNA_Camera,CAM22_e
SAB_09,8/15/2023,11:13:00,94.9,Bottom,2,767A014,413370,118,45 56.5702,59 18.9510,St Anns Bank,eDNA_Camera,CAM22_e
SAB_09,8/15/2023,11:13:00,94.9,Bottom,3,767A014,413371,119,45 56.5702,59 18.9510,St Anns Bank,eDNA_Camera,CAM22_e
SAB_10,8/15/2023,12:59:00,41.7,Bottom,1,767A015,413372,120,45 57.8584,59 15.1750,St Anns Bank,eDNA,
SAB_10,8/15/2023,12:59:00,41.7,Bottom,2,767A015,413373,121,45 57.8584,59 15.1750,St Anns Bank,eDNA,
SAB_10,8/15/2023,12:59:00,41.7,Bottom,3,767A015,413374,122,45 57.8584,59 15.1750,St Anns Bank,eDNA,
SAB_11,8/15/2023,13:46:00,30.9,Bottom,1,767A016,413375,123,45 58.9943,59 13.8738,St Anns Bank,eDNA,
SAB_11,8/15/2023,13:46:00,30.9,Bottom,2,767A016,413376,124,45 58.9943,59 13.8738,St Anns Bank,eDNA,
SAB_11,8/15/2023,13:46:00,30.9,Bottom,3,767A016,413377,125,45 58.9943,59 13.8738,St Anns Bank,eDNA,
SAB_12,8/15/2023,14:13:00,23.2,Bottom,1,767A017,413378,126,45 59.4321,59 12.5572,St Anns Bank,eDNA_Camera,CAM26_D
SAB_12,8/15/2023,14:13:00,23.2,Bottom,2,767A017,413379,127,45 59.4321,59 12.5572,St Anns Bank,eDNA_Camera,CAM26_D
SAB_12,8/15/2023,14:13:00,23.2,Bottom,3,767A017,413380,128,45 59.4321,59 12.5572,St Anns Bank,eDNA_Camera,CAM26_D
SAB_13,8/15/2023,17:38:00,56.1,Bottom,1,767A018,413381,129,45 56.8813,59 29.0542,St Anns Bank,eDNA,
SAB_13,8/15/2023,17:38:00,56.1,Bottom,2,767A018,413382,130,45 56.8813,59 29.0542,St Anns Bank,eDNA,
SAB_13,8/15/2023,17:38:00,56.1,Bottom,3,767A018,413383,131,45 56.8813,59 29.0542,St Anns Bank,eDNA,
BLANK,8/16/2023,10:10:00,NA,NA,NA,NA,413384,132,NA,NA,St Anns Bank,eDNA,
SAB_14,8/16/2023,10:20:00,34.7,Bottom,1,767A019,413385,133,45 59.7796,59 12.4175,St Anns Bank,eDNA,
SAB_14,8/16/2023,10:20:00,34.7,Bottom,2,767A019,413386,134,45 59.7796,59 12.4175,St Anns Bank,eDNA,
SAB_14,8/16/2023,10:20:00,34.7,Bottom,3,767A019,413387,135,45 59.7796,59 12.4175,St Anns Bank,eDNA,
SAB_15,8/16/2023,10:50:00,62.1,Bottom,1,767A020,413388,136,46 00.5891,59 11.8446,St Anns Bank,eDNA,
SAB_15,8/16/2023,10:50:00,62.1,Bottom,2,767A020,413389,137,46 00.5891,59 11.8446,St Anns Bank,eDNA,
SAB_15,8/16/2023,10:50:00,62.1,Bottom,3,767A020,413390,138,46 00.5891,59 11.8446,St Anns Bank,eDNA,
SAB_16,8/16/2023,11:20:00,28.9,Bottom,1,767A021,413391,139,45 59.7532,59 12.1106,St Anns Bank,eDNA,
SAB_16,8/16/2023,11:20:00,28.9,Bottom,2,767A021,413392,140,45 59.7532,59 12.1106,St Anns Bank,eDNA,
SAB_16,8/16/2023,11:20:00,28.9,Bottom,3,767A021,413393,141,45 59.7532,59 12.1106,St Anns Bank,eDNA,
SAB_17,8/16/2023,11:50:00,59,Bottom,1,767A022,413394,142,46 00.2629,59 11.1599,St Anns Bank,eDNA,
SAB_17,8/16/2023,11:50:00,59,Bottom,2,767A022,413395,143,46 00.2629,59 11.1599,St Anns Bank,eDNA,
SAB_17,8/16/2023,11:50:00,59,Bottom,3,767A022,413396,144,46 00.2629,59 11.1599,St Anns Bank,eDNA,
SAB_18,8/16/2023,13:05:00,140.1,Bottom,1,767A023,413397,145,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_18,8/16/2023,13:05:00,140.1,Bottom,2,767A023,413398,146,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_18,8/16/2023,13:05:00,140.1,Bottom,3,767A023,413399,147,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_18,8/16/2023,13:05:00,140.1,Surface,1,767A023,413400,148,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_18,8/16/2023,13:05:00,140.1,Surface,2,767A023,413401,149,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_18,8/16/2023,13:05:00,140.1,Surface,3,767A023,413402,150,45 54.5809,58 59.3513,St Anns Bank,eDNA_Camera,CAM25_B
SAB_19,8/16/2023,14:41:00,143,Bottom,1,767A024,413403,151,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_19,8/16/2023,14:41:00,143,Bottom,2,767A024,413404,152,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_19,8/16/2023,14:41:00,143,Bottom,3,767A024,413405,153,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_19,8/16/2023,14:41:00,143,Surface,1,767A024,413406,154,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_19,8/16/2023,14:41:00,143,Surface,2,767A024,413407,155,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_19,8/16/2023,14:41:00,143,Surface,3,767A024,413408,156,45 54.2999,59 01.4765,St Anns Bank,eDNA_Camera,CAM8_A
SAB_20,8/16/2023,16:04:00,125,Bottom,1,767A025,413409,157,45 54.4286,59 02.8675,St Anns Bank,eDNA_Camera,CAM9_C
SAB_20,8/16/2023,16:04:00,125,Bottom,2,767A025,413410,158,45 54.4286,59 02.8675,St Anns Bank,eDNA_Camera,CAM9_C
SAB_20,8/16/2023,16:04:00,125,Bottom,3,767A025,413411,159,45 54.4286,59 02.8675,St Anns Bank,eDNA_Camera,CAM9_C
BLANK,8/17/2023,7:17:00,NA,BLANK,1,NA,413412,160,NA,NA,St Anns Bank,eDNA,
SAB_21,8/17/2023,8:13:00,55.8,Bottom,1,767A026,413413,161,45 53.3689,59 36.5996,St Anns Bank,eDNA_Camera,CAM15_D
SAB_21,8/17/2023,8:13:00,55.8,Bottom,2,767A026,413414,162,45 53.3689,59 36.5996,St Anns Bank,eDNA_Camera,CAM15_D
SAB_21,8/17/2023,8:13:00,55.8,Bottom,3,767A026,413415,163,45 53.3689,59 36.5996,St Anns Bank,eDNA_Camera,CAM15_D
SAB_22,8/17/2023,11:16:00,19.1,Bottom,1,767A027,413416,164,45 53.6202,59 35.9914,St Anns Bank,eDNA_Camera,CAM16_D
SAB_22,8/17/2023,11:16:00,19.1,Bottom,2,767A027,413417,165,45 53.6202,59 35.9914,St Anns Bank,eDNA_Camera,CAM16_D
SAB_22,8/17/2023,11:16:00,19.1,Bottom,3,767A027,413418,166,45 53.6202,59 35.9914,St Anns Bank,eDNA_Camera,CAM16_D
SAB_23,8/17/2023,12:10:00,56.2,Bottom,1,767A028,413419,167,45 56.9505,59 29.1574,St Anns Bank,eDNA_Camera,
SAB_23,8/17/2023,12:10:00,56.2,Bottom,2,767A028,413420,168,45 56.9505,59 29.1574,St Anns Bank,eDNA_Camera,
SAB_23,8/17/2023,12:10:00,56.2,Bottom,3,767A028,413421,169,45 56.9505,59 29.1574,St Anns Bank,eDNA_Camera,
SAB_24,8/17/2023,12:57:00,47.8,Bottom,1,767A029,413422,170,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
SAB_24,8/17/2023,12:57:00,47.8,Bottom,2,767A029,413423,171,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
SAB_24,8/17/2023,12:57:00,47.8,Bottom,3,767A029,413424,172,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
SAB_24,8/17/2023,12:57:00,47.8,Surface,1,767A029,413425,173,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
SAB_24,8/17/2023,12:57:00,47.8,Surface,2,767A029,413426,174,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
SAB_24,8/17/2023,12:57:00,47.8,Surface,3,767A029,413427,175,46 02.5128,59 28.6502,St Anns Bank,eDNA_Camera,CAM6_D
BLANK,8/18/2023,8:23:00,NA,BLANK,NA,NA,413428,176,NA,NA,St Anns Bank,eDNA,
SAB_25,8/18/2023,8:23:00,65.3,Bottom,1,767A030,413429,177,45 53.7557,59 33.6001,St Anns Bank,eDNA,
SAB_25,8/18/2023,8:23:00,65.3,Bottom,2,767A030,413430,178,45 53.7557,59 33.6001,St Anns Bank,eDNA,
SAB_25,8/18/2023,8:23:00,65.3,Bottom,3,767A030,413431,179,45 53.7557,59 33.6001,St Anns Bank,eDNA,
SAB_26,8/18/2023,9:02:00,35.4,Bottom,1,767A031,413432,180,45 53.8790,59 30.3193,St Anns Bank,eDNA,
SAB_26,8/18/2023,9:02:00,35.4,Bottom,2,767A031,413433,181,45 53.8790,59 30.3193,St Anns Bank,eDNA,
SAB_26,8/18/2023,9:02:00,35.4,Bottom,3,767A031,413434,182,45 53.8790,59 30.3193,St Anns Bank,eDNA,
SAB_27,8/18/2023,9:29:00,57.8,Bottom,1,767A032,413435,183,45 53.9471,59 31.9263,St Anns Bank,eDNA,
SAB_27,8/18/2023,9:29:00,57.8,Bottom,2,767A032,413436,184,45 53.9471,59 31.9263,St Anns Bank,eDNA,
SAB_27,8/18/2023,9:29:00,57.8,Bottom,3,767A032,413437,185,45 53.9471,59 31.9263,St Anns Bank,eDNA,
SAB_28,8/18/2023,9:58:00,53,Bottom,1,767A033,413438,186,45 52.8622,59 32.4424,St Anns Bank,eDNA,
SAB_28,8/18/2023,9:58:00,53,Bottom,2,767A033,413439,187,45 52.8622,59 32.4424,St Anns Bank,eDNA,
SAB_28,8/18/2023,9:58:00,53,Bottom,3,767A033,413440,188,45 52.8622,59 32.4424,St Anns Bank,eDNA,
SAB_29,8/18/2023,11:34:00,66.2,Bottom,1,767A034,413441,189,45 54.2821,59 31.3079,St Anns Bank,eDNA,
SAB_29,8/18/2023,11:34:00,66.2,Bottom,2,767A034,413442,190,45 54.2821,59 31.3079,St Anns Bank,eDNA,
SAB_29,8/18/2023,11:34:00,66.2,Bottom,3,767A034,413443,191,45 54.2821,59 31.3079,St Anns Bank,eDNA,
SAB_30,8/18/2023,12:07:00,79.2,Bottom,1,767A035,413444,192,46 02.2520,59 20.4784,St Anns Bank,eDNA,
SAB_30,8/18/2023,12:07:00,79.2,Bottom,2,767A035,413445,193,46 02.2520,59 20.4784,St Anns Bank,eDNA,
SAB_30,8/18/2023,12:07:00,79.2,Bottom,3,767A035,413446,194,46 02.2520,59 20.4784,St Anns Bank,eDNA,
SAB_31,8/18/2023,13:02:00,79.8,Bottom,1,767A036,413447,195,46 02.5841,59 21.2320,St Anns Bank,eDNA,
SAB_31,8/18/2023,13:02:00,79.8,Bottom,2,767A036,413448,196,46 02.5841,59 21.2320,St Anns Bank,eDNA,
SAB_31,8/18/2023,13:02:00,79.8,Bottom,3,767A036,413449,197,46 02.5841,59 21.2320,St Anns Bank,eDNA,
SAB_60,8/21/2023,8:39:00,25,Bottom,1,767A038,413450,198,46 05.7437,59 38.1062,St Anns Bank,eDNA_Camera,CAM17_U
SAB_60,8/21/2023,8:39:00,25,Bottom,2,767A038,413451,199,46 05.7437,59 38.1062,St Anns Bank,eDNA_Camera,CAM17_U
SAB_60,8/21/2023,8:39:00,25,Bottom,3,767A038,413452,200,46 05.7437,59 38.1062,St Anns Bank,eDNA_Camera,CAM17_U
SAB_61,8/21/2023,10:00:00,35,Bottom,1,767A039,413453,201,46 07.6130,59 37.9014,St Anns Bank,eDNA_Camera,CAM18_U
SAB_61,8/21/2023,10:00:00,35,Bottom,2,767A039,413454,202,46 07.6130,59 37.9014,St Anns Bank,eDNA_Camera,CAM18_U
SAB_61,8/21/2023,10:00:00,35,Bottom,3,767A039,413455,203,46 07.6130,59 37.9014,St Anns Bank,eDNA_Camera,CAM18_U
SAB_62,8/21/2023,11:05:00,28,Bottom,1,767A040,413456,204,46 08.4228,59 34.9660,St Anns Bank,eDNA_Camera,CAM19_U
SAB_62,8/21/2023,11:05:00,28,Bottom,2,767A040,413457,205,46 08.4228,59 34.9660,St Anns Bank,eDNA_Camera,CAM19_U
SAB_62,8/21/2023,11:05:00,28,Bottom,3,767A040,413458,206,46 08.4228,59 34.9660,St Anns Bank,eDNA_Camera,CAM19_U
SAB_63,8/21/2023,13:55:00,57,Bottom,1,767A041,413459,207,45 59.5213,59 36.5537,St Anns Bank,eDNA,
SAB_63,8/21/2023,13:55:00,57,Bottom,2,767A041,413460,208,45 59.5213,59 36.5537,St Anns Bank,eDNA,
BLANK,8/21/2023,14:22:00,NA,Bottom,BLANK,NA,413461,209,NA,NA,St Anns Bank,eDNA,
SAB_22REAL,8/23/2023,11:00:00,122,Bottom,1,767A042,413462,210,45 59.2905,59 02.8209,St Anns Bank,eDNA_Camera,CAM2_A
SAB_22REAL,8/23/2023,11:00:00,122,Bottom,2,767A042,413463,211,45 59.2905,59 02.8209,St Anns Bank,eDNA_Camera,CAM2_A
SAB_22REAL,8/23/2023,11:00:00,122,Bottom,3,767A042,413464,212,45 59.2905,59 02.8209,St Anns Bank,eDNA_Camera,CAM2_A
SAB_21REAL,8/23/2023,13:15:00,93,Bottom,1,767A043,413465,213,45 59.8475,58 52.2189,St Anns Bank,eDNA_Camera,CAM21_E
SAB_21REAL,8/23/2023,13:15:00,93,Bottom,2,767A043,413466,214,45 59.8475,58 52.2189,St Anns Bank,eDNA_Camera,CAM21_E
SAB_21REAL,8/23/2023,13:15:00,93,Bottom,3,767A043,413467,215,45 59.8475,58 52.2189,St Anns Bank,eDNA_Camera,CAM21_E
SAB_25REAL,8/23/2023,14:59:00,148,Bottom,1,767A044,413468,216,45 59.4782,58 55.8503,St Anns Bank,eDNA,
SAB_25REAL,8/23/2023,14:59:00,148,Bottom,2,767A044,413469,217,45 59.4782,58 55.8503,St Anns Bank,eDNA,
SAB_25REAL,8/23/2023,14:59:00,148,Bottom,3,767A044,413470,218,45 59.4782,58 55.8503,St Anns Bank,eDNA,
SCATARIE2,8/23/2023,16:40:00,26,Bottom,1,767A045,413471,219,45 59.3417,59 12.5072,St Anns Bank,eDNA_Camera,CAM26_D
SCATARIE2,8/23/2023,16:40:00,26,Bottom,2,767A045,413472,220,45 59.3417,59 12.5072,St Anns Bank,eDNA_Camera,CAM26_D
SCATARIE2,8/23/2023,16:40:00,26,Bottom,3,767A045,413473,221,45 59.3417,59 12.5072,St Anns Bank,eDNA_Camera,CAM26_D
BLANK,8/23/2023,,NA,BLANK,BLANK,NA,413474,222,NA,NA,St Anns Bank,eDNA,
GABARUS01,8/20/2023,14:25:00,40,-,-,-,-,-,45 51.0340,60 04.2062,Gabarus,Camera,GABARUS01
GABARUS01,8/20/2023,15:14:00,40,,,767A037,,,45 50.5907,60 04.4192,Gabarus,Camear,GABARUS01
