"station","activity","depth","deg_lon","dm_lon","deg_lat","dm_lat","lon","lat","group"
"Cam15_D","Camera/eDNA",38.1,-59,36.1308150000006,45,53.5596792000005,-59.60218025,45.89266132,"Western cluster 2"
"Cam16_D","Camera/eDNA",39.9,-59,35.5898687999999,45,53.5697532000002,-59.59316448,45.89282922,"Western cluster 2"
"Cam24_F","Camera/eDNA",58.2,-59,29.0516664000002,45,56.9666663999996,-59.48419444,45.94944444,"Western cluster 2"
"eDNA_22","eDNA",53,-59,32.3677187786866,45,52.8770778325996,-59.5394619796448,45.8812846305433,"Western cluster 2"
"eDNA_24","eDNA",62.3,-59,38.1398744261033,45,53.8889233910174,-59.6356645737684,45.8981487231836,"Western cluster 2"
"eDNA_26","eDNA",59.8,-59,33.3873009124626,45,53.8247646559908,-59.5564550152077,45.8970794109332,"Western cluster 2"
"eDNA_27","eDNA",53,-59,32.3677187786866,45,52.8770778325996,-59.5394619796448,45.8812846305433,"Western cluster 2"
"Cam11_D","Camera/eDNA",67.3,-59,19.3195331999999,46,3.55009079999959,-59.32199222,46.05916818,"Western cluster 3"
"Cam6_D","Camera/eDNA",51,-59,28.7042400000003,46,2.43504000000058,-59.478404,46.040584,"Western cluster 3"
"Cam7_D","Camera/eDNA",52.3,-59,28.1105399999998,46,1.86713999999981,-59.468509,46.031119,"Western cluster 3"
"eDNA_20","eDNA",77.8,-59,20.4561472620293,46,2.29935578067639,-59.3409357877005,46.0383225963446,"Western cluster 3"
"eDNA_21","eDNA",76.8,-59,21.2068964118809,46,2.56952533442131,-59.3534482735313,46.0428254222404,"Western cluster 3"
"Cam17_U","Camera/eDNA",26.3,-59,38.1221033999998,46,5.85929700000037,-59.63536839,46.09765495,"Western cluster 4"
"Cam18_U","Camera/eDNA",34,-59,37.8916547999998,46,7.6177914000003,-59.63152758,46.12696319,"Western cluster 4"
"Cam19_U","Camera/eDNA",32.2,-59,34.9257839999994,46,8.35860779999948,-59.5820964,46.13931013,"Western cluster 4"
