species,year,type
  Coryphella orjani                 ,2023,invertebrate
  Crella elegans                    ,2023,invertebrate
  Dendrobeania murrayana            ,2023,invertebrate
  Dorvillea kastjani                ,2023,invertebrate
  Echinarachnius parma              ,2023,invertebrate
  Ectyonopsis pluridentata          ,2023,invertebrate
  Enchelyopus cimbrius              ,2023,invertebrate
  Evadne nordmanni                  ,2023,invertebrate
  Gorgonocephalus arcticus          ,2023,invertebrate
  Halichondria panicea              ,2023,invertebrate
  Halocynthia pyriformis            ,2023,invertebrate
  Lafoea dumosa                     ,2023,invertebrate
  Lanassa venusta                   ,2023,invertebrate
  Laona quadrata                    ,2023,invertebrate
  Leptasterias littoralis           ,2023,invertebrate
  Leptasterias polaris              ,2023,invertebrate
  Lithothamnion glaciale            ,2023,invertebrate
  Lysippe labiata                   ,2023,invertebrate
  Macoma calcarea                   ,2023,invertebrate
  Meganyctiphanes norvegica         ,2023,invertebrate
  Melinna heterodonta               ,2023,invertebrate
  Metridia lucens                   ,2023,invertebrate
  Micromonas pusilla                ,2023,invertebrate
  Micrura varicolor                 ,2023,invertebrate
  Nicomache lumbricalis             ,2023,invertebrate
  Nicomache minor                   ,2023,invertebrate
  Ninoe nigripes                    ,2023,invertebrate
  Obelia geniculata                 ,2023,invertebrate
  Oithona similis                   ,2023,invertebrate
  Ophelina acuminata CMC01          ,2023,invertebrate
  Ophiopholis aculeata              ,2023,invertebrate
  Ophiura robusta                   ,2023,invertebrate
  Ophiura sarsii                    ,2023,invertebrate
  Orthopyxis integra                ,2023,invertebrate
  Phacellophora camtschatica        ,2023,invertebrate
  Phyllodoce groenlandica CMC01     ,2023,invertebrate
  Phyllodoce mucosa                 ,2023,invertebrate
  Pista maculata                    ,2023,invertebrate
  Polycirrus medusa                 ,2023,invertebrate
  Praxillella praetermissa CMC02    ,2023,invertebrate
  Proclea malmgreni                 ,2023,invertebrate
  Pseudocalanus newmani             ,2023,invertebrate
  Pseudopotamilla reniformis        ,2023,invertebrate
  Psolus phantapus                  ,2023,invertebrate
  Pteraster militaris               ,2023,invertebrate
  Scalibregma inflatum CMC03        ,2023,invertebrate
  Scoloplos acutus                  ,2023,invertebrate
