"X","OTN_ARRAY","OTN_ARRAY_2","OTN_ARRAY_3","STATION_NO","STATION_NO2","DEPLOY_DATE_TIME_UTC","BOTTOM_DEPTH","INS_MODEL_NO","RECEIVER_SN","RECEIVER_TAG_ID","RECOVERED","RECOVER_DATE_TIME_UTC","YEAR_DEPLOYED","Assigned_c","X.1","depth"
151,"SABMPA","SAB_NEW","SAB_NEW","2021_12","2021_12","2022-08-06T15:49:00",NA,"VR2AR",546088,"A69-1601-60552","Y","2023-08-16T15:45:00",2022,"D - Till with coraline algae"," 45.98796)",39.1
152,"SABMPA","SAB_NEW","SAB_NEW","2021_11","2021_11","2022-08-06T16:01:00",NA,"VR2AR",547101,"A69-1601-61565","Y","2023-08-16T15:57:00",2022,"D - Till with coraline algae"," 45.98792)",34.1
153,"SABMPA","SAB_NEW","SAB_NEW","2021_10","2021_10","2022-08-06T16:10:00",NA,"VR2AR",545575,"A69-1601-60039","Y","2023-08-16T16:13:00",2022,"D - Till with coraline algae"," 45.98789)",33.6
154,"SABMPA","SAB_NEW","SAB_NEW","2021_09","2021_09","2022-08-06T16:19:00",NA,"VR2AR",546355,"A69-1601-60819","Y","2023-08-16T16:22:00",2022,"D - Till with coraline algae"," 45.98785)",36.4
155,"SABMPA","SAB_NEW","SAB_NEW","2021_08","2021_08","2022-08-06T16:39:00",NA,"VR2AR",546086,"A69-1601-60550","Y","2023-08-16T16:33:00",2022,"D - Till with coraline algae"," 45.98788)",45.2
156,"SABMPA","SAB_NEW","SAB_NEW","2021_06","2021_06","2022-08-06T17:09:00",NA,"VR2AR",546087,"A69-1601-60551","Y","2023-08-16T16:47:00",2022,"D - Till with coraline algae"," 45.98781)",65.5
157,"SABMPA","SAB_NEW","SAB_NEW","2021_05","2021_05","2022-08-06T17:18:00",NA,"VR2AR",547103,"A69-1601-61567","Y","2023-08-16T16:57:00",2022,"D - Till with coraline algae"," 45.98778)",74.5
158,"SABMPA","SAB_OLD","SAB_SOUTH","S1","S1","2015-05-11T00:00:00",NA,"VR2AR",545764,"A69-1601-60228","Y","2016-04-17T10:30:00",2015,"A - Mud"," 46.02183)",113.2
159,"SABMPA","SAB_OLD","SAB_SOUTH","S10","S10","2015-05-11T00:00:00",NA,"VR2AR",545765,"A69-1601-60229","Y","2016-04-17T12:25:00",2015,"A - Mud"," 46.02183)",139.6
160,"SABMPA","SAB_OLD","SAB_SOUTH","S11","S11","2015-05-11T00:00:00",NA,"VR2AR",545778,"A69-1601-60242","Y","2016-04-17T12:36:00",2015,"A - Mud"," 46.02183)",146.3
