FID,datelastmodified,institutioncode,collectioncode,datacenter_reference,catalognumber,scientificname,longitude,latitude,basisofrecord,datecollected,yearcollected,monthcollected,daycollected,timeofday,timezone,coordinateprecision,observedindividualcount,collector,julianday,locality,animal_origin,stock,sex,life_stage,age,age_units,weight,weight_units,length,length_type,length_units,vernacularname,aphiaid,tsn,authorityaccepted,kingdom,phylum,classname,ordername,family,genus,subgenus,species,subspecies,the_geom
animals.fid--28644f0b_19c77057946_-4213,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0045,Gadus morhua,-58.95658,46.20382,O,2018-04-24T22:12:00,2018,4,24,22.2,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.45,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.20382 -58.95658)
animals.fid--28644f0b_19c77057946_-4212,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0046,Gadus morhua,-58.95658,46.20382,O,2018-04-24T22:12:00,2018,4,24,22.2,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.20382 -58.95658)
animals.fid--28644f0b_19c77057946_-4211,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0047,Gadus morhua,-58.94616,46.22429,O,2018-04-24T22:35:00,2018,4,24,22.58333333,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.51,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.22429 -58.94616)
animals.fid--28644f0b_19c77057946_-4210,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0048,Gadus morhua,-58.94616,46.22429,O,2018-04-24T22:35:00,2018,4,24,22.58333333,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.39,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.22429 -58.94616)
animals.fid--28644f0b_19c77057946_-420f,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-33-2023-11-26,Gadus morhua,-59.57135,45.96753333,O,2023-11-26T15:45:00,2023,11,26,15.75,UTC,,1,HARRI PETTITT-WADE,330,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.54,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9675333333333 -59.57135)
animals.fid--28644f0b_19c77057946_-420e,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1346224-2022-12-05,Gadus morhua,-59.111,45.5885,O,2022-12-05T23:20:00,2022,12,5,23.33333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5885 -59.111)
animals.fid--28644f0b_19c77057946_-420d,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1346223-2022-12-05,Gadus morhua,-59.1141,45.5878,O,2022-12-05T23:00:00,2022,12,5,23,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.43,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5878 -59.1141)
animals.fid--28644f0b_19c77057946_-420c,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1346222-2022-12-05,Gadus morhua,-59.1188,45.5879,O,2022-12-05T22:37:00,2022,12,5,22.61666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5879 -59.1188)
animals.fid--28644f0b_19c77057946_-420b,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-34-2023-11-26,Gadus morhua,-59.57135,45.96753333,O,2023-11-26T15:45:00,2023,11,26,15.75,UTC,,1,HARRI PETTITT-WADE,330,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.55,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9675333333333 -59.57135)
animals.fid--28644f0b_19c77057946_-420a,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-35-2023-11-26,Gadus morhua,-59.57135,45.96753333,O,2023-11-26T15:45:00,2023,11,26,15.75,UTC,,1,HARRI PETTITT-WADE,330,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.55,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9675333333333 -59.57135)
animals.fid--28644f0b_19c77057946_-4209,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-36-2023-11-26,Gadus morhua,-59.55067,45.9752,O,2023-11-26T15:45:00,2023,11,26,15.75,UTC,,1,HARRI PETTITT-WADE,330,ST. ANNS BANK MPA,W,SCOTIAN SHELF,F,ADULT,,,,,0.56,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9752 -59.55067)
animals.fid--28644f0b_19c77057946_-4208,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0053,Gadus morhua,-59.0296,46.1596,O,2018-04-24T22:35:00,2018,4,24,22.58333333,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.47,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.1596 -59.0296)
animals.fid--28644f0b_19c77057946_-4207,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1346229-2022-12-05,Gadus morhua,-59.1202,45.5874,O,2022-12-05T22:25:00,2022,12,5,22.41666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.59,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5874 -59.1202)
animals.fid--28644f0b_19c77057946_-4206,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1346228-2022-12-05,Gadus morhua,-59.1234,45.5872,O,2022-12-05T22:10:00,2022,12,5,22.16666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5872 -59.1234)
animals.fid--28644f0b_19c77057946_-4205,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261768-2022-12-05,Gadus morhua,-59.1234,45.5872,O,2022-12-05T22:10:00,2022,12,5,22.16666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5872 -59.1234)
animals.fid--28644f0b_19c77057946_-4204,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261749-2022-12-05,Gadus morhua,-59.1461,45.5829,O,2022-12-05T19:59:00,2022,12,5,19.98333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.61,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5829 -59.1461)
animals.fid--28644f0b_19c77057946_-4203,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261750-2022-12-05,Gadus morhua,-59.1465,45.5828,O,2022-12-05T19:51:00,2022,12,5,19.85,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5828 -59.1465)
animals.fid--28644f0b_19c77057946_-4202,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261751-2022-12-05,Gadus morhua,-59.1466,45.5827,O,2022-12-05T19:49:00,2022,12,5,19.81666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.62,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5827 -59.1466)
animals.fid--28644f0b_19c77057946_-4201,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261752-2022-12-05,Gadus morhua,-59.147,45.5825,O,2022-12-05T19:47:00,2022,12,5,19.78333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5825 -59.147)
animals.fid--28644f0b_19c77057946_-4200,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261743-2022-12-05,Gadus morhua,-59.1475,45.5824,O,2022-12-05T19:43:00,2022,12,5,19.71666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.46,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5824 -59.1475)
animals.fid--28644f0b_19c77057946_-41ff,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261744-2022-12-05,Gadus morhua,-59.1478,45.5823,O,2022-12-05T19:41:00,2022,12,5,19.68333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.45,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5823 -59.1478)
animals.fid--28644f0b_19c77057946_-41fe,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261745-2022-12-05,Gadus morhua,-59.1482,45.582,O,2022-12-05T19:38:00,2022,12,5,19.63333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.46,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.582 -59.1482)
animals.fid--28644f0b_19c77057946_-41fd,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261746-2022-12-05,Gadus morhua,-59.1488,45.582,O,2022-12-05T19:35:00,2022,12,5,19.58333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.46,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.582 -59.1488)
animals.fid--28644f0b_19c77057946_-41fc,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261747-2022-12-05,Gadus morhua,-59.149,45.5816,O,2022-12-05T19:31:00,2022,12,5,19.51666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.48,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5816 -59.149)
animals.fid--28644f0b_19c77057946_-41fb,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261738-2022-12-05,Gadus morhua,-59.1497,45.5816,O,2022-12-05T19:28:00,2022,12,5,19.46666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.56,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5816 -59.1497)
animals.fid--28644f0b_19c77057946_-41fa,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261739-2022-12-05,Gadus morhua,-59.1501,45.5814,O,2022-12-05T19:25:00,2022,12,5,19.41666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5814 -59.1501)
animals.fid--28644f0b_19c77057946_-41f9,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261740-2022-12-05,Gadus morhua,-59.1519,45.5807,O,2022-12-05T19:13:00,2022,12,5,19.21666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.78,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5807 -59.1519)
animals.fid--28644f0b_19c77057946_-41f8,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261741-2022-12-05,Gadus morhua,-59.1578,45.5727,O,2022-12-05T18:32:00,2022,12,5,18.53333333,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.45,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5727 -59.1578)
animals.fid--28644f0b_19c77057946_-41f7,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0049,Gadus morhua,-58.94616,46.22429,O,2018-04-24T22:35:00,2018,4,24,22.58333333,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.53,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.22429 -58.94616)
animals.fid--28644f0b_19c77057946_-41f6,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261742-2022-12-05,Gadus morhua,-59.1589,45.5715,O,2022-12-05T18:15:00,2022,12,5,18.25,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.48,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5715 -59.1589)
animals.fid--28644f0b_19c77057946_-41f5,2023-02-08T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-1261773-2022-12-05,Gadus morhua,-59.1594,45.5712,O,2022-12-05T18:10:00,2022,12,5,18.16666667,UTC,,1,BEN_ZISSERSON,339,ST.ANNS BANK MPA,W,Scotian Shelf and Southern Grand Banks,U,,,,,,0.54,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.5712 -59.1594)
animals.fid--28644f0b_19c77057946_-41f4,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-01-2023-10-05,Gadus morhua,-59.22035,45.9738,O,2023-10-05T18:49:00,2023,10,5,18.81666667,UTC,,1,DEREK FENTON; RYAN STANLEY,278,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9738 -59.22035)
animals.fid--28644f0b_19c77057946_-41f3,2025-05-12T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-24-MOR-20-2024-12-04,Gadus morhua,-59.24408,45.9711,O,2024-12-04T20:06:00,2024,12,4,20.1,UTC,,1,HARRI PETTITT-WADE,339,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.56,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9711 -59.24408)
animals.fid--28644f0b_19c77057946_-41f2,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0060,Gadus morhua,-59.02524,46.1627,O,2018-04-25T12:00:00,2018,4,25,12,UTC,,1,DEREK FENTON,115,ST.ANNS BANK MPA,,,U,,,,,,0.58,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.1627 -59.02524)
animals.fid--28644f0b_19c77057946_-41f1,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0033,Gadus morhua,-59.00052,46.15535,O,2018-04-24T20:30:00,2018,4,24,20.5,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,,,U,,,,,,0.465,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.15535 -59.00052)
animals.fid--28644f0b_19c77057946_-41f0,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0034,Gadus morhua,-59.00052,46.15535,O,2018-04-24T20:30:00,2018,4,24,20.5,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,,,U,,,,,,0.4,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.15535 -59.00052)
animals.fid--28644f0b_19c77057946_-41ef,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0035,Gadus morhua,-59.00052,46.15535,O,2018-04-24T20:30:00,2018,4,24,20.5,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,,,U,,,,,,0.46,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.15535 -59.00052)
animals.fid--28644f0b_19c77057946_-41ee,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0036,Gadus morhua,-59.00052,46.15535,O,2018-04-24T20:30:00,2018,4,24,20.5,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,,,U,,,,,,0.41,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.15535 -59.00052)
animals.fid--28644f0b_19c77057946_-41ed,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-02-2023-10-05,Gadus morhua,-60.5424,45.98103333,O,2023-10-05T19:04:00,2023,10,5,19.06666667,UTC,,1,DEREK FENTON; RYAN STANLEY,278,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.48,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9810333333333 -60.5424)
animals.fid--28644f0b_19c77057946_-41ec,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-03-2023-10-05,Gadus morhua,-59.20745,45.98201667,O,2023-10-05T19:10:00,2023,10,5,19.16666667,UTC,,1,DEREK FENTON; RYAN STANLEY,278,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.44,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9820166666667 -59.20745)
animals.fid--28644f0b_19c77057946_-41eb,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-04-2023-10-05,Gadus morhua,-59.20493,45.98338333,O,2023-10-05T19:22:00,2023,10,5,19.36666667,UTC,,1,DEREK FENTON; RYAN STANLEY,278,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.54,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9833833333333 -59.20493)
animals.fid--28644f0b_19c77057946_-41ea,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-05-2023-10-06,Gadus morhua,-59.57853,45.96405,O,2023-10-06T18:00:00,2023,10,6,18,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.96405 -59.57853)
animals.fid--28644f0b_19c77057946_-41e9,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-06-2023-10-06,Gadus morhua,-59.57853,45.96405,O,2023-10-06T18:00:00,2023,10,6,18,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.58,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.96405 -59.57853)
animals.fid--28644f0b_19c77057946_-41e8,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-07-2023-10-06,Gadus morhua,-59.57853,45.96405,O,2023-10-06T18:00:00,2023,10,6,18,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.53,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.96405 -59.57853)
animals.fid--28644f0b_19c77057946_-41e7,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-08-2023-10-06,Gadus morhua,-59.57853,45.96405,O,2023-10-06T18:00:00,2023,10,6,18,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.54,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.96405 -59.57853)
animals.fid--28644f0b_19c77057946_-41e6,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-09-2023-10-06,Gadus morhua,-63.486667,45.96403333,O,2023-10-06T18:05:00,2023,10,6,18.08333333,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9640333333333 -63.486667)
animals.fid--28644f0b_19c77057946_-41e5,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-10-2023-10-06,Gadus morhua,-63.486667,45.96403333,O,2023-10-06T18:05:00,2023,10,6,18.08333333,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.64,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9640333333333 -63.486667)
animals.fid--28644f0b_19c77057946_-41e4,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-11-2023-10-06,Gadus morhua,-63.486667,45.96403333,O,2023-10-06T18:05:00,2023,10,6,18.08333333,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.54,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9640333333333 -63.486667)
animals.fid--28644f0b_19c77057946_-41e3,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-12-2023-10-06,Gadus morhua,-59.5638,45.96403333,O,2023-10-06T18:17:00,2023,10,6,18.28333333,UTC,,1,DEREK FENTON; RYAN STANLEY,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.63,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9640333333333 -59.5638)
