FID,datelastmodified,institutioncode,collectioncode,datacenter_reference,catalognumber,scientificname,longitude,latitude,basisofrecord,datecollected,yearcollected,monthcollected,daycollected,timeofday,timezone,coordinateprecision,observedindividualcount,collector,julianday,locality,animal_origin,stock,sex,life_stage,age,age_units,weight,weight_units,length,length_type,length_units,vernacularname,aphiaid,tsn,authorityaccepted,kingdom,phylum,classname,ordername,family,genus,subgenus,species,subspecies,the_geom
animals.fid--28644f0b_19c77057946_-4224,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0025,Gadus morhua,-58.96543,46.18963,O,2018-04-24T16:27:00,2018,4,24,16.45,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.45,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.18963 -58.96543)
animals.fid--28644f0b_19c77057946_-4223,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0026,Gadus morhua,-58.96543,46.18963,O,2018-04-24T16:27:00,2018,4,24,16.45,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.59,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.18963 -58.96543)
animals.fid--28644f0b_19c77057946_-4222,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0027,Gadus morhua,-58.96543,46.18963,O,2018-04-24T16:27:00,2018,4,24,16.45,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.415,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.18963 -58.96543)
animals.fid--28644f0b_19c77057946_-4221,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0028,Gadus morhua,-58.95794,46.20428,O,2018-04-24T18:24:00,2018,4,24,18.4,UTC,,1,BEN ZISSERSON,114,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.43,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.20428 -58.95794)
animals.fid--28644f0b_19c77057946_-4220,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-27-2023-10-06,Gadus morhua,-59.59968,45.8902,O,2023-10-06T23:04:00,2023,10,6,23.06666667,UTC,,1,HARRI PETTITT-WADE,279,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.52,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.8902 -59.59968)
animals.fid--28644f0b_19c77057946_-421f,2024-06-11T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-23-MOR-30-2023-11-26,Gadus morhua,-59.57135,45.96753333,O,2023-11-26T15:30:00,2023,11,26,15.5,UTC,,1,HARRI PETTITT-WADE,330,ST. ANNS BANK MPA,W,SCOTIAN SHELF,U,ADULT,,,,,0.49,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (45.9675333333333 -59.57135)
animals.fid--28644f0b_19c77057946_-421e,2021-10-19T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0061-2018-12-07,Gadus morhua,-58.93333,46.2,O,2018-12-07T10:35:00,2018,12,7,10.58333333,UTC,,1,DEREK FENTON,341,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.46,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2 -58.93333)
animals.fid--28644f0b_19c77057946_-421d,2021-10-19T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0062-2018-12-07,Gadus morhua,-58.93333,46.2,O,2018-12-07T11:10:00,2018,12,7,11.16666667,UTC,,1,DEREK FENTON,341,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.415,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2 -58.93333)
animals.fid--28644f0b_19c77057946_-421c,2021-10-19T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0063-2018-12-07,Gadus morhua,-58.95,46.2,O,2018-12-07T11:12:00,2018,12,7,11.2,UTC,,1,DEREK FENTON,341,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.48,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2 -58.95)
animals.fid--28644f0b_19c77057946_-421b,2021-10-19T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0064-2018-12-07,Gadus morhua,-58.95,46.2,O,2018-12-07T11:15:00,2018,12,7,11.25,UTC,,1,DEREK FENTON,341,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.5,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2 -58.95)
animals.fid--28644f0b_19c77057946_-421a,2021-10-19T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0065-2018-12-07,Gadus morhua,-58.95,46.2,O,2018-12-07T11:20:00,2018,12,7,11.33333333,UTC,,1,DEREK FENTON,341,ST.ANNS BANK MPA,W,4Vn,U,,,,,,0.64,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2 -58.95)
animals.fid--28644f0b_19c77057946_-4219,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0039,Gadus morhua,-59.02999,46.16353,O,2018-04-24T20:51:00,2018,4,24,20.85,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.38,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.16353 -59.02999)
animals.fid--28644f0b_19c77057946_-4218,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0040,Gadus morhua,-59.0201,46.16597,O,2018-04-24T20:58:00,2018,4,24,20.96666667,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.43,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.16597 -59.0201)
animals.fid--28644f0b_19c77057946_-4217,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0041,Gadus morhua,-58.97021,46.18362,O,2018-04-24T21:28:00,2018,4,24,21.46666667,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.4,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.18362 -58.97021)
animals.fid--28644f0b_19c77057946_-4216,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0042,Gadus morhua,-58.96119,46.2001,O,2018-04-24T21:56:00,2018,4,24,21.93333333,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.62,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.2001 -58.96119)
animals.fid--28644f0b_19c77057946_-4215,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0043,Gadus morhua,-58.97021,46.18362,O,2018-04-24T21:28:00,2018,4,24,21.46666667,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.44,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.18362 -58.97021)
animals.fid--28644f0b_19c77057946_-4214,2018-08-30T00:00:00Z,DFO-BIO,SABMPA,OTN,SABMPA-MPA-SAB-0044,Gadus morhua,-58.95658,46.20382,O,2018-04-24T22:12:00,2018,4,24,22.2,UTC,,1,DEREK FENTON,114,ST.ANNS BANK MPA,,,U,,,,,,0.41,FORK LENGTH,m,Atlantic cod,126436,164712,"Linnaeus, 1758",Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Gadus,,morhua,,POINT (46.20382 -58.95658)
