SET_SEQ,PRED_SEQ,PREY_SEQ,DATASOURCE,MISSION,SETNO,SDATE,STIME,STRAT,BOTTOM_TEMPERATURE,DEPTH,GEAR,SLATDD,SLONGDD,NAFO_ZONE,NAFO_SUBUNIT,SPEC,FSHNO,FWT,FLEN,STOWGT,EMPTYWGT,FULLNESS,FGEN,PREYSPECCD,PWT,PLEN,PNUM,RANK,DIGESTION,
8988,186470,215922,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,10,4093,424,37,23.22,6.94,4,,2210,1.16,,2,,3,
8988,186470,215923,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,10,4093,424,37,23.22,6.94,4,,2600,9.81,,26,,3,
8988,186470,215924,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,10,4093,424,37,23.22,6.94,4,,2000,4.31,,,,4,
8988,186479,215925,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,40,4101,109,24,2.26,1.67,2,,2000,0.59,,,,4,
8988,186475,215926,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,10,4098,51,18,3.23,0.96,3,,2600,2.27,,9,,3,
8988,186486,215927,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,40,4108,156,27,2.29,1.17,2,,9000,1.12,,,,4,
8988,186480,215928,SCS,S10092019,10,10-Sep-19,1802,,1.27,99,15,46.1285,-59.14833,4VN,4VN,40,4102,63,21,1.76,1,2,,2600,0.76,,3,,3,
8996,186868,215929,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,301,4504,794,36,99.53,32.83,4,,2521,53.6,4,1,,2,
8996,186868,215930,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,301,4504,794,36,99.53,32.83,4,,2521,4.42,1.8,1,,2,
8996,186868,215931,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,301,4504,794,36,99.53,32.83,4,,2526,4.34,1.8,1,,2,
8996,186868,215932,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,301,4504,794,36,99.53,32.83,4,,9100,4.34,,,,4,
8996,186870,215933,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,323,4485,169,24,4.53,3.99,1,,9000,0.54,,,,4,
8996,186864,215934,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,40,4499,45,18,11.61,2.3,4,,2000,9.31,,,,4,
8996,186872,215935,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,323,4488,69,18,2.76,2.1,1,,9000,0.66,,,,4,
8996,186859,215936,SCS,S12092019,2,12-Sep-19,616,,1.5,90,15,45.832,-59.5745,4VN,4VN,40,4491,106,25,1.59,0.66,3,,2000,0.93,,,,4,
