TRIP_ID,TRIP,BOARD_DATE,SET_NO,STATION,LATITUDE,LONGITUDE,NET_TEMPERATURE,EST_CATCH,SPECCD_ID,EST_NUM_CAUGHT,EST_DISCARD_WT
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,2212,4,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,2526,8,0.077
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,2559,7,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,4210,5,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,4511,2,0.4
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,5100,1,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6100,2,0.2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6115,582,2.8
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6117,1,0.3
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6121,3,0.2
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6200,165,0.5
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,6413,2,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,8300,9,0.4
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,8600,1,0.1
100049889,S23092017,2017-09-23,2,34,45.9595,58.83183,3.138898347,0.000077,9300,3,0.1
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,10,1,0.5
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,14,3,0.7
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,23,30,2
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,40,10,0.6
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,41,241,49.3
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,50,2,0.4
100049889,S23092017,2017-09-23,3,507,45.88383,58.77683,4.208553719,0.0000001,201,8,0.4
